acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_id,type,uri,valence,0
0.326,https://api.spotify.com/v1/audio-analysis/5RsKelNxucrDxgMbZ3vd3W,0.716,160465.0,0.563,5RsKelNxucrDxgMbZ3vd3W,0.0,3.0,0.119,-5.486,1.0,0.0425,86.005,4.0,https://api.spotify.com/v1/tracks/5RsKelNxucrDxgMbZ3vd3W,5RsKelNxucrDxgMbZ3vd3W,audio_features,spotify:track:5RsKelNxucrDxgMbZ3vd3W,0.495,
0.34,https://api.spotify.com/v1/audio-analysis/6ffCTLnwgOBNv09A9UCRl9,0.341,185240.0,0.368,6ffCTLnwgOBNv09A9UCRl9,0.0,4.0,0.14,-9.637,1.0,0.0311,89.624,4.0,https://api.spotify.com/v1/tracks/6ffCTLnwgOBNv09A9UCRl9,6ffCTLnwgOBNv09A9UCRl9,audio_features,spotify:track:6ffCTLnwgOBNv09A9UCRl9,0.28,
0.483,https://api.spotify.com/v1/audio-analysis/438wODjSTL2jgn1nePaNew,0.661,222009.0,0.523,438wODjSTL2jgn1nePaNew,0.0,8.0,0.469,-5.902,1.0,0.0381,122.948,4.0,https://api.spotify.com/v1/tracks/438wODjSTL2jgn1nePaNew,438wODjSTL2jgn1nePaNew,audio_features,spotify:track:438wODjSTL2jgn1nePaNew,0.536,
0.634,https://api.spotify.com/v1/audio-analysis/3Rs9jOQ2FlVgS6vYXPoAVm,0.523,221040.0,0.458,3Rs9jOQ2FlVgS6vYXPoAVm,0.0,7.0,0.102,-9.015,0.0,0.214,129.264,4.0,https://api.spotify.com/v1/tracks/3Rs9jOQ2FlVgS6vYXPoAVm,3Rs9jOQ2FlVgS6vYXPoAVm,audio_features,spotify:track:3Rs9jOQ2FlVgS6vYXPoAVm,0.345,
0.0833,https://api.spotify.com/v1/audio-analysis/1ShHhJlzaLuoZbJ3aP4z0m,0.733,197307.0,0.552,1ShHhJlzaLuoZbJ3aP4z0m,7.59e-06,7.0,0.141,-7.404,1.0,0.0993,125.311,5.0,https://api.spotify.com/v1/tracks/1ShHhJlzaLuoZbJ3aP4z0m,1ShHhJlzaLuoZbJ3aP4z0m,audio_features,spotify:track:1ShHhJlzaLuoZbJ3aP4z0m,0.279,
0.706,https://api.spotify.com/v1/audio-analysis/3ksNHUNCTP6Pan8rjFnmtw,0.544,225039.0,0.353,3ksNHUNCTP6Pan8rjFnmtw,0.0,11.0,0.105,-7.275,0.0,0.0303,138.059,4.0,https://api.spotify.com/v1/tracks/3ksNHUNCTP6Pan8rjFnmtw,3ksNHUNCTP6Pan8rjFnmtw,audio_features,spotify:track:3ksNHUNCTP6Pan8rjFnmtw,0.357,
0.914,https://api.spotify.com/v1/audio-analysis/1aWBNkWrY3VA2eeV6ljGQf,0.48,71627.0,0.274,1aWBNkWrY3VA2eeV6ljGQf,0.0,0.0,0.383,-17.702,0.0,0.316,94.539,5.0,https://api.spotify.com/v1/tracks/1aWBNkWrY3VA2eeV6ljGQf,1aWBNkWrY3VA2eeV6ljGQf,audio_features,spotify:track:1aWBNkWrY3VA2eeV6ljGQf,0.547,
0.168,https://api.spotify.com/v1/audio-analysis/00FmWWD8FpB1Ph6nPPw1bC,0.384,174333.0,0.598,00FmWWD8FpB1Ph6nPPw1bC,0.0,10.0,0.61,-8.216,0.0,0.153,82.455,4.0,https://api.spotify.com/v1/tracks/00FmWWD8FpB1Ph6nPPw1bC,00FmWWD8FpB1Ph6nPPw1bC,audio_features,spotify:track:00FmWWD8FpB1Ph6nPPw1bC,0.365,
0.275,https://api.spotify.com/v1/audio-analysis/0oH0OIeKJSAT5bdFkbz20A,0.802,211654.0,0.737,0oH0OIeKJSAT5bdFkbz20A,0.0,6.0,0.113,-4.862,0.0,0.0757,127.014,4.0,https://api.spotify.com/v1/tracks/0oH0OIeKJSAT5bdFkbz20A,0oH0OIeKJSAT5bdFkbz20A,audio_features,spotify:track:0oH0OIeKJSAT5bdFkbz20A,0.712,
0.39,https://api.spotify.com/v1/audio-analysis/4CqSF73VXQcpDTXsCy97CV,0.644,269853.0,0.451,4CqSF73VXQcpDTXsCy97CV,4.17e-05,8.0,0.593,-11.079,1.0,0.154,149.854,4.0,https://api.spotify.com/v1/tracks/4CqSF73VXQcpDTXsCy97CV,4CqSF73VXQcpDTXsCy97CV,audio_features,spotify:track:4CqSF73VXQcpDTXsCy97CV,0.779,
0.949,https://api.spotify.com/v1/audio-analysis/1lXhfXGzzU2kFlGhaalfjF,0.529,108693.0,0.0956,1lXhfXGzzU2kFlGhaalfjF,7.25e-05,3.0,0.105,-19.221,0.0,0.0528,106.029,5.0,https://api.spotify.com/v1/tracks/1lXhfXGzzU2kFlGhaalfjF,1lXhfXGzzU2kFlGhaalfjF,audio_features,spotify:track:1lXhfXGzzU2kFlGhaalfjF,0.551,
0.623,https://api.spotify.com/v1/audio-analysis/1vPw8XDPJLMmIaQGHYQ7Pp,0.534,257573.0,0.464,1vPw8XDPJLMmIaQGHYQ7Pp,0.000244,11.0,0.107,-10.209,0.0,0.0426,134.568,4.0,https://api.spotify.com/v1/tracks/1vPw8XDPJLMmIaQGHYQ7Pp,1vPw8XDPJLMmIaQGHYQ7Pp,audio_features,spotify:track:1vPw8XDPJLMmIaQGHYQ7Pp,0.119,
0.572,https://api.spotify.com/v1/audio-analysis/1IccfvDqh1CGWNdMThjycb,0.511,195187.0,0.312,1IccfvDqh1CGWNdMThjycb,0.0,0.0,0.0847,-10.424,1.0,0.0412,113.771,5.0,https://api.spotify.com/v1/tracks/1IccfvDqh1CGWNdMThjycb,1IccfvDqh1CGWNdMThjycb,audio_features,spotify:track:1IccfvDqh1CGWNdMThjycb,0.267,
